================================================
  NLOC    CCN   token  PARAM  length  location  
      13      1    161      8      13 printServoStatus@33-45@/home/quique/Documentos/RHA/SW/lib/debug/debug.cpp
12 file analyzed.
==============================================================
NLOC    Avg.NLOC  AvgCCN  Avg.token  function_cnt    file
--------------------------------------------------------------
     39      16.0     3.0      174.0         2     /home/quique/Documentos/RHA/SW/src/main.cpp
     82       3.9     1.6       29.6        14     /home/quique/Documentos/RHA/SW/lib/rha_types/rha_types.h
    298      12.4     2.8       86.3        24     /home/quique/Documentos/RHA/SW/lib/joint_handler/joint_handler.cpp
     40       1.0     1.0        5.0         1     /home/quique/Documentos/RHA/SW/lib/joint_handler/joint_handler.h
     25       1.0     1.0        7.2         4     /home/quique/Documentos/RHA/SW/lib/joint_rha/joint_rha.h
     43       7.0     1.7       49.2         6     /home/quique/Documentos/RHA/SW/lib/joint_rha/joint_rha.cpp
    105       1.0     1.0        7.7        11     /home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.h
    133       7.7     1.6       57.6        17     /home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.cpp
    150      46.0    10.0      273.0         3     /home/quique/Documentos/RHA/SW/lib/utilities/utilities.cpp
    157      21.7     3.5      158.2         6     /home/quique/Documentos/RHA/SW/lib/utilities/utilities.h
     31      15.0     7.5      188.0         2     /home/quique/Documentos/RHA/SW/lib/debug/debug.cpp
      3       0.0     0.0        0.0         0     /home/quique/Documentos/RHA/SW/lib/debug/debug.h

=========================================================================================
!!!! Warnings (cyclomatic_complexity > 15 or length > 1000 or parameter_count > 100) !!!!
================================================
  NLOC    CCN   token  PARAM  length  location  
------------------------------------------------
      70     20    435      1      81 JointHandler::sendPacket@285-365@/home/quique/Documentos/RHA/SW/lib/joint_handler/joint_handler.cpp
      84     17    443      0      91 ServoUtilities::fullFactoryResetBR@144-234@/home/quique/Documentos/RHA/SW/lib/utilities/utilities.cpp
==========================================================================================
Total nloc   Avg.NLOC  AvgCCN  Avg.token   Fun Cnt  Warning cnt   Fun Rt   nloc Rt
------------------------------------------------------------------------------------------
      1106       9.7     2.4       70.8       90            2      0.02    0.18
